request_id,defect_id,plant_id,cls,conf,area,area_ratio
32dd81b9-bdbb-4825-a9be-46316dcc8d81,1,1,crack,0.018869152292609215,8238,0.004851318683583663
32dd81b9-bdbb-4825-a9be-46316dcc8d81,2,1,crack,0.017375631257891655,1702,0.0010022996357683168
32dd81b9-bdbb-4825-a9be-46316dcc8d81,3,1,crack,0.012576478533446789,867,0.0005105721411346244
4cce9c0a-e9ea-43d2-a8a3-1a3d232afb9a,1,1,fungus,0.8829889893531799,64269,0.05915406620351451
4cce9c0a-e9ea-43d2-a8a3-1a3d232afb9a,2,1,fungus,0.6822066307067871,22196,0.02042950183530486
4cce9c0a-e9ea-43d2-a8a3-1a3d232afb9a,3,1,cavity,0.05666331946849823,66778,0.061463384103351414
4cce9c0a-e9ea-43d2-a8a3-1a3d232afb9a,4,2,crack,0.052090372890233994,43077,0.06449328522449957
4cce9c0a-e9ea-43d2-a8a3-1a3d232afb9a,5,2,dead_area,0.047138527035713196,54092,0.08098453430748731
742ddb2c-78d7-424d-863b-c223e1ffa864,1,1,fungus,0.9408227205276489,29175,0.03497933012334785
742ddb2c-78d7-424d-863b-c223e1ffa864,2,1,fungus,0.719485878944397,12355,0.014813011951121257
742ddb2c-78d7-424d-863b-c223e1ffa864,3,1,fungus,0.24894431233406067,20369,0.02442138732759117
742ddb2c-78d7-424d-863b-c223e1ffa864,4,1,fungus,0.23398759961128235,12789,0.01533335571371022
742ddb2c-78d7-424d-863b-c223e1ffa864,5,1,fungus,0.037769705057144165,21406,0.02566469719350074
742ddb2c-78d7-424d-863b-c223e1ffa864,6,1,dead_area,0.030393851920962334,21207,0.02542610638991732
fac36e26-1728-4fc1-8ad1-e6af8e81b13c,1,3,mech_damage,0.1582227647304535,1190,0.008541977719076605
